state,year,salary
Ohio,2014,51454
Ohio,2013,53489
Ohio,2012,47465
Ohio,2011,48768
Ohio,2010,51701
Ohio,2009,52545
Ohio,2008,53567
Ohio,2007,58190
Ohio,2006,55942
Ohio,2005,55620
Ohio,2004,56010
Ohio,2003,58145
Ohio,2002,58323
Ohio,2001,57995
Oklahoma,2016,52039
Oklahoma,2015,48710
Oklahoma,2014,48920
Oklahoma,2013,48655
Oklahoma,2012,51778
Oklahoma,2011,52927
Oklahoma,2010,48565
Oklahoma,2009,52544
Oklahoma,2008,52627
Oklahoma,2007,51218
Oklahoma,2006,47335
Oklahoma,2005,47368
Oklahoma,2004,51534
Oklahoma,2003,47967
Oklahoma,2002,49816
Oklahoma,2001,49423
Oregon,2016,60407
Oregon,2015,62944
Oregon,2014,61022
Oregon,2013,51646
Oregon,2012,55380
Oregon,2011,56281
Oregon,2010,57014
Oregon,2009,56232
Oregon,2008,59037
Oregon,2007,59538
Oregon,2006,57393
Oregon,2005,55564
Oregon,2004,53329
Oregon,2003,55630
Oregon,2002,57118
Oregon,2001,57284
Pennsylvania,2016,62290
Pennsylvania,2015,62483
Pennsylvania,2014,57185
Pennsylvania,2013,58135
Pennsylvania,2012,55518
Pennsylvania,2011,54516
Pennsylvania,2010,54436
Pennsylvania,2009,55172
Pennsylvania,2008,58666
Pennsylvania,2007,57406
Pennsylvania,2006,59082
Pennsylvania,2005,58258
Pennsylvania,2004,57378
Pennsylvania,2003,57361
Pennsylvania,2002,58069
Pennsylvania,2001,60373
Rhode Island,2016,62851
Rhode Island,2015,57633
Rhode Island,2014,60771
Rhode Island,2013,59365
Rhode Island,2012,59969
Rhode Island,2011,53558
Rhode Island,2010,58164
Rhode Island,2009,59137
Rhode Island,2008,60765
Rhode Island,2007,64248
Rhode Island,2006,65492
Rhode Island,2005,62265
Rhode Island,2004,62359
Rhode Island,2003,59736
Rhode Island,2002,57958
Rhode Island,2001,63460
South Carolina,2016,55505
South Carolina,2015,47968
South Carolina,2014,46567
South Carolina,2013,45916
South Carolina,2012,47493
South Carolina,2011,43783
South Carolina,2010,46982
South Carolina,2009,47073
South Carolina,2008,48112
South Carolina,2007,52400
South Carolina,2006,48284
South Carolina,2005,50621
South Carolina,2004,50333
South Carolina,2003,51410
South Carolina,2002,51666
South Carolina,2001,52375
South Dakota,2016,58685
South Dakota,2015,56975
South Dakota,2014,54987
South Dakota,2013,56298
South Dakota,2012,52856
South Dakota,2011,51581
South Dakota,2010,51099
South Dakota,2009,52485
South Dakota,2008,58892
South Dakota,2007,55013
South Dakota,2006,55365
South Dakota,2005,54296
South Dakota,2004,53476
South Dakota,2003,52803
South Dakota,2002,51749
South Dakota,2001,55060
Tennessee,2016,52448
Tennessee,2015,48971
Tennessee,2014,45310
Tennessee,2013,45703
Tennessee,2012,45989
Tennessee,2011,46181
Tennessee,2010,43481
Tennessee,2009,46404
Tennessee,2008,45313
Tennessee,2007,48823
Tennessee,2006,49595
Tennessee,2005,49584
Tennessee,2004,49528
Tennessee,2003,50133
Tennessee,2002,50597
Tennessee,2001,49664
Texas,2016,59396
Texas,2015,58432
Texas,2014,55839
Texas,2013,54183
Texas,2012,55542
Texas,2011,53573
Texas,2010,53255
Texas,2009,54373
Texas,2008,53060
Texas,2007,54580
Texas,2006,52781
Texas,2005,52120
Texas,2004,53853
Texas,2003,52468
Texas,2002,54859
Texas,2001,56711
Utah,2016,68932
Utah,2015,68556
Utah,2014,65694
Utah,2013,64344
Utah,2012,62403
Utah,2011,60614
Utah,2010,63886
Utah,2009,66990
Utah,2008,71375
Utah,2007,63440
Utah,2006,66579
Utah,2005,68970
Utah,2004,66178
Utah,2003,65834
Utah,2002,65397
Utah,2001,65707
Vermont,2016,62145
Vermont,2015,61557
Vermont,2014,62922
Vermont,2013,69052
Vermont,2012,59452
Vermont,2011,56648
Vermont,2010,63015
Vermont,2009,59920
Vermont,2008,57872
Vermont,2007,56165
Vermont,2006,63353
Vermont,2005,63800
Vermont,2004,61570
Vermont,2003,57799
Vermont,2002,58753
Vermont,2001,56619
Virginia,2016,67880
Virginia,2015,63618
Virginia,2014,68567
Virginia,2013,69467
Virginia,2012,69132
Virginia,2011,68394
Virginia,2010,68017
Virginia,2009,69292
Virginia,2008,70745
Virginia,2007,70115
Virginia,2006,69615
Virginia,2005,65322
Virginia,2004,66529
Virginia,2003,73193
Virginia,2002,67815
Virginia,2001,69731
Washington,2016,71822
Washington,2015,69575
Washington,2014,61222
Washington,2013,67375
Washington,2012,66517
Washington,2011,62096
Washington,2010,63280
Washington,2009,69167
Washington,2008,64634
Washington,2007,68834
Washington,2006,66695
Washington,2005,63727
Washington,2004,64944
Washington,2003,63473
Washington,2002,61738
Washington,2001,58973
West Virginia,2016,45308
West Virginia,2015,44309
West Virginia,2014,40994
West Virginia,2013,45395
West Virginia,2012,46586
West Virginia,2011,45680
West Virginia,2010,48198
West Virginia,2009,46373
West Virginia,2008,43363
West Virginia,2007,49885
West Virginia,2006,46824
